property_id,window_days,be_present,be_total,be_rate,ctrl_present,ctrl_total,ctrl_rate,analysis_type,test_type,p_value,odds_ratio,effect_size,significant,be_freq_mean,ctrl_freq_mean,p_adjusted
Property_030,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.963817115713321,0.9486121644168057,,False,221.78014184397162,233.79432624113474,1.0
Property_031,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_031,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9987600504466992,0.9037686628877295,,False,2273.6170212765956,2515.706855791962,1.0
Property_032,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_032,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9728728900308893,0.9448811225152657,,False,481.4113475177305,509.49408983451536,1.0
Property_033,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_033,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9994129502805204,0.8905785245359849,,False,516.0070921985815,579.4066193853428,1.0
Property_034,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_034,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9779803147631285,0.9089269459317347,,False,380.0496453900709,418.13002364066193,1.0
Property_035,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_035,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.967338917959041,0.9441646280040294,,False,434.29787234042556,459.98108747044915,1.0
Property_036,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_036,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9998507264270043,0.867815844752987,,False,2337.1347517730496,2693.1229314420802,1.0
Property_037,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_037,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9999555059482853,0.8776661435150643,,False,2258.021276595745,2572.756501182033,1.0
Property_038,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_038,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9735742014983229,0.9450088976034142,,False,2169.3829787234044,2295.6217494089833,1.0
Property_039,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
Property_039,3,141,141,1.0,423,423,1.0,frequency,mann_whitney_u,0.9980519372283996,0.8958132437558943,,False,799.4042553191489,892.3782505910166,1.0
Property_040,3,141,141,1.0,423,423,1.0,presence,fisher,1.0,,0.0,False,,,1.0
