year_month,rolling_corr,window,lag,risk_metric,social_indicator
2020-04,0.166,12,7,risk_max,suicide
2020-05,-0.1488,12,7,risk_max,suicide
2020-06,-0.0815,12,7,risk_max,suicide
2020-07,-0.1915,12,7,risk_max,suicide
2020-08,-0.2567,12,7,risk_max,suicide
2020-09,-0.4836,12,7,risk_max,suicide
2020-10,-0.0427,12,7,risk_max,suicide
2020-11,-0.2268,12,7,risk_max,suicide
2020-12,-0.2636,12,7,risk_max,suicide
2021-01,-0.2661,12,7,risk_max,suicide
2021-02,-0.349,12,7,risk_max,suicide
2021-03,-0.3403,12,7,risk_max,suicide
2021-04,-0.3224,12,7,risk_max,suicide
2021-05,-0.3234,12,7,risk_max,suicide
2021-06,-0.3494,12,7,risk_max,suicide
2021-07,-0.2838,12,7,risk_max,suicide
2021-08,-0.2251,12,7,risk_max,suicide
2021-09,-0.262,12,7,risk_max,suicide
2021-10,-0.354,12,7,risk_max,suicide
2021-11,-0.3204,12,7,risk_max,suicide
2021-12,0.0464,12,7,risk_max,suicide
2022-01,0.2801,12,7,risk_max,suicide
2022-02,0.5297,12,7,risk_max,suicide
2022-03,0.5375,12,7,risk_max,suicide
2022-04,0.21,12,7,risk_max,suicide
2022-05,0.1073,12,7,risk_max,suicide
2022-06,-0.0458,12,7,risk_max,suicide
2022-07,-0.02,12,7,risk_max,suicide
2022-08,0.0029,12,7,risk_max,suicide
2022-09,0.0464,12,7,risk_max,suicide
2022-10,0.1249,12,7,risk_max,suicide
2022-11,-0.0102,12,7,risk_max,suicide
2022-12,-0.0684,12,7,risk_max,suicide
2023-01,-0.2957,12,7,risk_max,suicide
2023-02,-0.6008,12,7,risk_max,suicide
2023-03,-0.2249,12,7,risk_max,suicide
2023-04,-0.0005,12,7,risk_max,suicide
2023-05,0.4371,12,7,risk_max,suicide
2023-06,0.5336,12,7,risk_max,suicide
2023-07,0.5651,12,7,risk_max,suicide
2023-08,0.5607,12,7,risk_max,suicide
2023-09,0.5033,12,7,risk_max,suicide
2023-10,0.4957,12,7,risk_max,suicide
2023-11,0.4392,12,7,risk_max,suicide
2023-12,0.4394,12,7,risk_max,suicide
2024-01,0.176,12,7,risk_max,suicide
2024-02,0.249,12,7,risk_max,suicide
2024-03,0.0466,12,7,risk_max,suicide
2024-04,-0.0196,12,7,risk_max,suicide
2024-05,-0.1447,12,7,risk_max,suicide
2024-06,-0.3297,12,7,risk_max,suicide
2024-07,-0.3764,12,7,risk_max,suicide
2024-08,-0.4729,12,7,risk_max,suicide
2024-09,-0.462,12,7,risk_max,suicide
2024-10,-0.413,12,7,risk_max,suicide
2024-11,-0.1578,12,7,risk_max,suicide
2024-12,-0.1559,12,7,risk_max,suicide
2008-10,0.927,12,4,warning_days,suicide
2008-11,0.4223,12,4,warning_days,suicide
2008-12,0.4113,12,4,warning_days,suicide
2009-01,0.2672,12,4,warning_days,suicide
2009-02,0.1633,12,4,warning_days,suicide
2009-03,0.2405,12,4,warning_days,suicide
2009-04,0.2895,12,4,warning_days,suicide
2009-05,0.3476,12,4,warning_days,suicide
2009-06,0.3427,12,4,warning_days,suicide
2009-07,0.2437,12,4,warning_days,suicide
2009-08,0.0298,12,4,warning_days,suicide
2009-09,-0.1396,12,4,warning_days,suicide
2009-10,0.3459,12,4,warning_days,suicide
2009-11,0.3058,12,4,warning_days,suicide
2009-12,0.2925,12,4,warning_days,suicide
2010-01,0.3913,12,4,warning_days,suicide
2010-02,0.6098,12,4,warning_days,suicide
