year_month,risk_mean,risk_max,warning_days,n_days,Property_055_contrib_mean,Property_083_contrib_mean,Property_042_contrib_mean,Property_110_contrib_mean,Property_087_contrib_mean,Property_002_contrib_mean,Property_070_contrib_mean,Property_113_contrib_mean,Property_055_ratio_mean,Property_083_ratio_mean,Property_042_ratio_mean,Property_110_ratio_mean,Property_087_ratio_mean,Property_002_ratio_mean,Property_070_ratio_mean,Property_113_ratio_mean,Property_055_ratio_max,Property_083_ratio_max,Property_042_ratio_max,Property_110_ratio_max,Property_087_ratio_max,Property_002_ratio_max,Property_070_ratio_max,Property_113_ratio_max,consec_warning_months,risk_mean_delta,risk_mean_accel
2009-08,17.948709677419355,21.22,19,31,0.03786129032258064,0.0,0.0,0.1130225806451613,0.0,0.0,0.27921935483870963,0.12396774193548386,1.040225806451613,0.0,0.0,1.3158774193548388,0.0,0.0,1.3256999999999999,1.2481709677419355,1.0728,0,0,1.6057,0,0,1.3827,1.3025,3,-6.813225806451612,-8.781827956989247
2009-09,21.072333333333333,25.35,21,30,0.11389,0.0,0.0,0.16296666666666668,0.0,0.0,0.2795566666666666,0.12054000000000001,1.1276833333333334,0.0,0.0,1.46032,0.0,0.0,1.3261133333333333,1.24133,1.1895,0,0,1.6455,0,0,1.3717,1.2917,4,3.1236236559139776,9.93684946236559
2009-10,17.72483870967742,24.38,10,31,0.10107419354838709,0.0,0.0,0.2483483870967742,0.0,0.0,0.17234193548387097,0.06325806451612903,1.113316129032258,0.0,0.0,1.701464516129032,0.0,0.0,1.201032258064516,1.1266419354838708,1.1849,0,0,2.0671,0,0,1.309,1.218,0,-3.347494623655912,-6.47111827956989
2009-11,14.846333333333332,23.11,8,30,0.0559,0.0,0.0,0.24686333333333332,0.0,0.0,0.17875666666666667,0.04899666666666667,1.06266,0.0,0.0,1.6972733333333332,0.0,0.0,1.20851,1.0981066666666666,1.1592,0,0,2.2077,0,0,1.2491,1.1397,0,-2.878505376344089,0.4689892473118231
2009-12,18.750645161290322,25.34,21,31,0.07089354838709679,0.0,0.0,0.06651935483870967,0.0,0.0,0.25108387096774193,0.0730258064516129,1.0795000000000001,0.0,0.0,1.187558064516129,0.0,0.0,1.2928903225806452,1.1462129032258066,1.1153,0,0,1.5261,0,0,1.3889,1.237,1,3.90431182795699,6.782817204301079
2010-01,12.060967741935483,23.24,7,31,0.09903225806451613,0.0,0.0,0.09631612903225806,0.0,0.0,0.18056774193548386,0.020329032258064515,1.1110225806451612,0.0,0.0,1.224090322580645,0.0,0.0,1.2106451612903226,1.021758064516129,1.1971,0,0,2.0393,0,0,1.3145,1.1459,0,-6.6896774193548385,-10.593989247311828
2010-02,16.86392857142857,28.51,15,28,0.06932857142857143,0.0,0.0,0.18786785714285714,0.0,0.0,0.18812142857142858,0.046017857142857145,1.0736571428571429,0.0,0.0,1.5134071428571427,0.0,0.0,1.21945,1.0842392857142857,1.1567,0,0,2.1467,0,0,1.3447,1.1979,1,4.802960829493086,11.492638248847925
2010-03,7.368064516129032,11.01,0,31,0.0,0.0,0.0,0.07867741935483871,0.0,0.0,0.06860645161290323,0.021070967741935485,0.9354677419354839,0.0,0.0,1.2222483870967742,0.0,0.0,1.0787548387096775,1.027832258064516,0.9903,0,0,1.3498,0,0,1.1485,1.0966,0,-9.495864055299538,-14.298824884792625
2010-04,16.925666666666665,26.65,11,30,0.008243333333333333,0.0,0.0,0.16081,0.0,0.0,0.23368333333333335,0.07613666666666667,0.9570933333333334,0.0,0.0,1.4542366666666666,0.0,0.0,1.2725933333333332,1.1524566666666667,1.05,0,0,1.6746,0,0,1.4104,1.2934,0,9.557602150537633,19.05346620583717
2010-05,32.81612903225806,49.88,31,31,0.07814193548387097,0.0,0.0,0.30606774193548386,0.0,0.0,0.31801612903225807,0.1276322580645161,1.0876032258064516,0.0,0.0,1.8645064516129033,0.0,0.0,1.3709645161290323,1.2555354838709676,1.1649,0,0,2.3482,0,0,1.4918,1.3455,1,15.890462365591397,6.332860215053763
