year_month,risk_mean,risk_max,risk_std,n_days,warning_days,suicide,mental_disorder,substance_disorder,unemployment
2013-05,9.076451612903226,24.22,6.11733741011948,31,3,1349.0,414.0,52.0,3.0
2013-06,20.88,40.38,10.288514855460647,30,16,1278.0,363.0,59.0,3.1
2013-07,21.42064516129032,43.8,13.260515056734882,31,15,1185.0,315.0,39.0,3.1
2013-08,9.425483870967742,19.35,4.00594711124155,31,2,1159.0,389.0,56.0,3.0
2013-09,11.772,22.29,8.285833111089529,30,10,1157.0,372.0,63.0,2.7
2013-10,12.805806451612904,23.41,7.104372725860954,31,7,1200.0,465.0,68.0,2.7
2013-11,22.011000000000003,24.77,1.7897261397131174,30,30,1033.0,456.0,74.0,2.6
2013-12,17.40806451612903,19.81,2.68515104398845,31,15,986.0,468.0,79.0,3.0
2014-01,16.49225806451613,20.86,2.5845640634059475,31,6,1076.0,483.0,81.0,3.4
2014-02,11.127857142857142,15.95,2.6831605978119897,28,0,1065.0,428.0,55.0,4.5
2014-03,10.238387096774193,13.23,1.5798968252688599,31,0,1491.0,489.0,68.0,3.9
2014-04,6.252,8.37,1.4463089763852026,30,0,1359.0,407.0,61.0,3.8
2014-05,2.07741935483871,7.98,2.3370379653768794,31,0,1273.0,396.0,56.0,3.5
2014-06,2.695333333333333,7.71,2.478562894700981,30,0,1184.0,380.0,62.0,3.5
2014-07,4.471290322580645,6.39,1.0880954061584975,31,0,1156.0,314.0,43.0,3.4
2014-08,2.0180645161290323,5.09,2.2003612117935525,31,0,1142.0,362.0,55.0,3.3
2014-09,0.232,0.95,0.3386423196968376,30,0,1108.0,387.0,59.0,3.1
2014-10,8.961935483870967,20.25,6.314985573673066,31,1,1023.0,435.0,70.0,3.2
2014-11,17.13533333333333,20.41,2.1438005783048566,30,10,1002.0,488.0,63.0,3.0
2014-12,14.739032258064515,18.49,2.21171329491974,31,0,957.0,527.0,78.0,3.3
2015-01,13.28225806451613,25.25,7.598691865348675,31,9,1050.0,496.0,60.0,3.7
2015-02,15.41,28.31,11.217284942510888,28,13,1012.0,457.0,70.0,4.5
2015-03,9.31258064516129,15.96,6.702549747542317,31,0,1237.0,576.0,77.0,4.0
2015-04,10.196333333333333,14.96,2.2325221292231925,30,0,1335.0,467.0,67.0,3.9
2015-05,4.474516129032258,8.15,1.413505898371557,31,0,1361.0,405.0,64.0,3.7
2015-06,13.411666666666667,24.71,7.727819464645957,30,12,1122.0,399.0,65.0,3.8
2015-07,23.26483870967742,32.29,6.380332734775796,31,20,1158.0,406.0,54.0,3.6
2015-08,20.63225806451613,39.38,9.654148230916912,31,11,1188.0,381.0,56.0,3.4
2015-09,26.278666666666666,42.28,12.255206840875578,30,21,1049.0,388.0,64.0,3.2
2015-10,0.5893548387096774,3.12,0.6401350663928719,31,0,1055.0,452.0,71.0,3.1
2015-11,3.4073333333333333,6.52,2.3766840611315554,30,0,975.0,465.0,62.0,3.0
2015-12,11.314193548387097,18.49,4.4528565918921075,31,0,971.0,457.0,77.0,3.2
2016-01,25.951612903225808,43.5,13.432720274705886,31,18,905.0,504.0,68.0,3.7
2016-02,22.861379310344827,40.72,10.138752996067655,29,14,968.0,498.0,80.0,4.9
2016-03,7.821290322580645,25.46,8.225773617897786,31,4,1232.0,473.0,74.0,4.2
2016-04,2.7053333333333334,5.79,1.018107552523675,30,0,1141.0,417.0,78.0,3.9
2016-05,3.7635483870967743,8.55,1.8276078142152508,31,0,1197.0,378.0,65.0,3.6
2016-06,6.598,21.84,5.345568193405152,30,2,1128.0,367.0,64.0,3.6
2016-07,12.29483870967742,23.13,8.94599905766734,31,14,1108.0,418.0,80.0,3.5
2016-08,2.7722580645161288,5.53,1.4050900556605364,31,0,1115.0,402.0,69.0,3.6
2016-09,2.0423333333333336,5.45,1.6536890491456873,30,0,1217.0,387.0,54.0,3.5
2016-10,4.585806451612903,8.11,2.2808006988680507,31,0,1151.0,432.0,62.0,3.3
2016-11,12.511666666666667,15.96,2.24166514976661,30,0,967.0,486.0,68.0,3.1
2016-12,9.96516129032258,13.52,1.4000187402739581,31,0,963.0,537.0,85.0,3.2
2017-01,8.255806451612903,12.17,3.1554616927834274,31,0,923.0,529.0,81.0,3.7
2017-02,1.6857142857142857,5.19,1.0914089723717435,28,0,935.0,461.0,96.0,4.9
2017-03,0.8035483870967742,2.14,0.5376092037102588,31,0,1037.0,500.0,108.0,4.1
2017-04,0.4766666666666667,1.33,0.38878531735201327,30,0,1097.0,442.0,74.0,4.2
2017-05,0.40516129032258064,1.34,0.47191009714239673,31,0,1158.0,424.0,72.0,3.6
2017-06,0.07166666666666667,0.41,0.12359788340262626,30,0,1075.0,423.0,88.0,3.8
2017-07,0.038387096774193545,0.35,0.09719728302764945,31,0,1018.0,356.0,63.0,3.4
2017-08,0.257741935483871,0.96,0.32382824333710564,31,0,1119.0,399.0,76.0,3.6
2017-09,0.08366666666666668,0.3,0.11535502420439,30,0,1050.0,418.0,77.0,3.3
2017-10,0.0012903225806451613,0.04,0.007184212081070997,31,0,1105.0,459.0,86.0,3.2
2017-11,0.005333333333333333,0.05,0.014076964145021818,30,0,981.0,451.0,76.0,3.1
2017-12,0.18838709677419355,0.35,0.08116225617833076,31,0,965.0,512.0,90.0,3.3
2018-01,0.5645161290322581,1.41,0.5042806011846804,31,0,1128.0,603.0,79.0,3.7
2018-02,1.5525,3.96,1.5126396476701591,28,0,958.0,430.0,72.0,4.6
2018-03,0.007096774193548388,0.07,0.019696623803264146,31,0,1409.0,391.0,80.0,4.5
2018-04,0.5616666666666668,1.16,0.42251368746107393,30,0,1269.0,357.0,78.0,4.1
2018-05,0.4693548387096774,1.09,0.3874956815576226,31,0,1194.0,350.0,77.0,4.0
2018-06,0.8543333333333333,1.68,0.44408513732774524,30,0,1180.0,336.0,69.0,3.7
2018-07,3.44,5.91,1.5484659074925302,31,0,1183.0,374.0,110.0,3.7
2018-08,3.662258064516129,10.46,2.4947447560521017,31,0,1087.0,329.0,76.0,4.0
2018-09,8.607666666666667,14.01,4.923369103909775,30,0,1087.0,288.0,65.0,3.6
2018-10,7.835806451612903,30.11,8.59677295043264,31,5,1145.0,371.0,75.0,3.5
2018-11,18.408666666666665,31.56,7.6372493393409915,30,15,1044.0,405.0,76.0,3.2
2018-12,7.741935483870968,9.8,1.0934972012000104,31,0,986.0,387.0,85.0,3.4
2019-01,7.908387096774193,10.98,1.9223182129470546,31,0,1114.0,440.0,102.0,4.5
2019-02,1.2653571428571428,5.24,1.55550511539537,28,0,971.0,382.0,88.0,4.7
2019-03,2.6261290322580644,5.18,1.0119244946119739,31,0,1182.0,413.0,77.0,4.3
2019-04,3.9353333333333333,7.37,2.1299679993279055,30,0,1131.0,382.0,80.0,4.4
2019-05,4.817741935483871,10.26,2.950506973021664,31,0,1274.0,379.0,90.0,4.0
2019-06,6.121333333333333,11.39,2.4054173533252317,30,0,1108.0,321.0,61.0,4.0
2019-07,7.563225806451613,10.91,2.154620441588687,31,0,1248.0,356.0,64.0,3.9
2019-08,17.175161290322578,24.35,5.001270419248654,31,14,1152.0,404.0,81.0,3.0
2019-09,5.4896666666666665,13.63,4.362137631098276,30,0,1093.0,394.0,72.0,3.1
2019-10,6.871935483870968,10.47,1.9970819034361753,31,0,1248.0,377.0,62.0,3.0
2019-11,7.608333333333333,10.23,1.8569386808313881,30,0,1098.0,402.0,62.0,3.1
2019-12,3.0925806451612905,4.87,1.0315715122793168,31,0,1180.0,422.0,77.0,3.4
2020-01,1.19,2.74,0.7493196914535211,31,0,1092.0,423.0,85.0,4.1
2020-02,9.77655172413793,20.91,5.984075460194372,29,1,993.0,400.0,89.0,4.1
