year_month,risk_mean,risk_max,risk_std,n_days,warning_days
2011-04,36.241,41.82,4.5135003237414075,30,30
2011-05,17.517096774193547,27.28,5.264367764222903,31,13
2011-06,32.37766666666667,38.53,3.1568171261281655,30,30
2011-07,25.960645161290323,36.13,4.787391033039376,31,31
2011-08,65.43709677419355,86.4,20.936527918695656,31,31
2011-09,37.31333333333334,52.81,9.901605698183445,30,30
2011-10,46.788709677419355,72.72,16.98036645500434,31,31
2011-11,33.779333333333334,44.63,5.731694058619072,30,30
2011-12,39.420967741935485,45.14,3.245843860322217,31,31
2012-01,29.344838709677422,38.1,8.20305141231714,31,24
2012-02,20.525172413793104,26.97,3.8578376814421143,29,16
2012-03,14.505161290322581,21.43,3.0220124321029767,31,3
2012-04,11.848666666666666,16.36,2.5463845002254675,30,0
2012-05,18.292258064516126,32.41,9.951288261552678,31,15
2012-06,29.893666666666665,34.13,2.2436200479448916,30,30
2012-07,33.62129032258064,36.72,1.6450972452218602,31,31
2012-08,21.281612903225806,35.93,9.902945049083192,31,15
2012-09,20.561666666666667,25.65,2.6005226044185727,30,22
2012-10,20.426774193548386,35.25,8.674554892364517,31,14
2012-11,27.403333333333332,34.16,3.0900332922359337,30,30
2012-12,14.597741935483873,21.56,3.745545540752304,31,4
2013-01,13.625483870967741,26.36,7.622891769186492,31,11
2013-02,15.08607142857143,27.05,8.181023362267599,28,11
2013-03,14.346774193548388,21.49,4.93129150567866,31,8
2013-04,26.408666666666665,31.72,4.1128031663401385,30,29
2013-05,9.076451612903226,24.22,6.11733741011948,31,3
2013-06,20.88,40.38,10.288514855460647,30,16
2013-07,21.42064516129032,43.8,13.260515056734882,31,15
2013-08,9.425483870967742,19.35,4.00594711124155,31,2
2013-09,11.772,22.29,8.285833111089529,30,10
2013-10,12.805806451612904,23.41,7.104372725860954,31,7
2013-11,22.011000000000003,24.77,1.7897261397131174,30,30
2013-12,17.40806451612903,19.81,2.68515104398845,31,15
2014-01,16.49225806451613,20.86,2.5845640634059475,31,6
2014-02,11.127857142857142,15.95,2.6831605978119897,28,0
2014-03,10.238387096774193,13.23,1.5798968252688599,31,0
2014-04,6.252,8.37,1.4463089763852026,30,0
2014-05,2.07741935483871,7.98,2.3370379653768794,31,0
2014-06,2.695333333333333,7.71,2.478562894700981,30,0
2014-07,4.471290322580645,6.39,1.0880954061584975,31,0
2014-08,2.0180645161290323,5.09,2.2003612117935525,31,0
2014-09,0.232,0.95,0.3386423196968376,30,0
2014-10,8.961935483870967,20.25,6.314985573673066,31,1
2014-11,17.13533333333333,20.41,2.1438005783048566,30,10
2014-12,14.739032258064515,18.49,2.21171329491974,31,0
2015-01,13.28225806451613,25.25,7.598691865348675,31,9
2015-02,15.41,28.31,11.217284942510888,28,13
2015-03,9.31258064516129,15.96,6.702549747542317,31,0
2015-04,10.196333333333333,14.96,2.2325221292231925,30,0
2015-05,4.474516129032258,8.15,1.413505898371557,31,0
2015-06,13.411666666666667,24.71,7.727819464645957,30,12
2015-07,23.26483870967742,32.29,6.380332734775796,31,20
2015-08,20.63225806451613,39.38,9.654148230916912,31,11
2015-09,26.278666666666666,42.28,12.255206840875578,30,21
2015-10,0.5893548387096774,3.12,0.6401350663928719,31,0
2015-11,3.4073333333333333,6.52,2.3766840611315554,30,0
2015-12,11.314193548387097,18.49,4.4528565918921075,31,0
2016-01,25.951612903225808,43.5,13.432720274705886,31,18
2016-02,22.861379310344827,40.72,10.138752996067655,29,14
2016-03,7.821290322580645,25.46,8.225773617897786,31,4
2016-04,2.7053333333333334,5.79,1.018107552523675,30,0
2016-05,3.7635483870967743,8.55,1.8276078142152508,31,0
2016-06,6.598,21.84,5.345568193405152,30,2
2016-07,12.29483870967742,23.13,8.94599905766734,31,14
2016-08,2.7722580645161288,5.53,1.4050900556605364,31,0
